Name,NominalX,NominalY,NominalZ,ActualX,ActualY,ActualZ,DevX,DevY,DevZ,Dev3D
P0_FL_H1,-3.8305,-18.3401,-64.0396,-3.8305,-18.3401,-64.0396,0.0000,0.0000,0.0000,
P0_FL_H2,-3.9016,-14.0569,-64.0379,-3.9016,-14.0569,-64.0379,0.0000,0.0000,0.0000,
P0_FL_H3,0.1557,-12.6523,-64.0369,0.1557,-12.6523,-64.0369,0.0000,0.0000,0.0000,
P0_FL_H4,2.7348,-16.0908,-64.0378,2.7348,-16.0908,-64.0378,0.0000,0.0000,0.0000,
P0_FL_H5,0.2542,-19.5972,-64.0397,0.2542,-19.5972,-64.0397,0.0000,0.0000,0.0000,
P0_NL_H1,-4.0632,-18.3888,-64.0976,-4.0632,-18.3888,-64.0976,0.0000,0.0000,0.0000,
P0_NL_H2,-4.1051,-14.1054,-64.0882,-4.1051,-14.1054,-64.0882,0.0000,0.0000,0.0000,
P0_NL_H3,-0.0381,-12.7268,-64.0775,-0.0381,-12.7268,-64.0775,0.0000,0.0000,0.0000,
P0_NL_H4,2.5201,-16.1802,-64.0806,2.5201,-16.1802,-64.0806,0.0000,0.0000,0.0000,
P0_NL_H5,0.0174,-19.6713,-64.0932,0.0174,-19.6713,-64.0932,0.0000,0.0000,0.0000,
P1_FL_H1,7.7610,-17.1212,-64.0326,7.7610,-17.1212,-64.0326,0.0000,0.0000,0.0000,
P1_FL_H2,5.1793,-13.7007,-64.0260,5.1793,-13.7007,-64.0260,0.0000,0.0000,0.0000,
P1_FL_H3,7.6344,-10.1785,-64.0282,7.6344,-10.1785,-64.0282,0.0000,0.0000,0.0000,
P1_FL_H4,11.7445,-11.4385,-64.0299,11.7445,-11.4385,-64.0299,0.0000,0.0000,0.0000,
P1_FL_H5,11.8021,-15.7326,-64.0336,11.8021,-15.7326,-64.0336,0.0000,0.0000,0.0000,
P1_NL_H1,7.4280,-17.3008,-64.0842,7.4280,-17.3008,-64.0842,0.0000,0.0000,0.0000,
P1_NL_H2,4.8914,-13.8473,-64.0763,4.8914,-13.8473,-64.0763,0.0000,0.0000,0.0000,
P1_NL_H3,7.3910,-10.3560,-64.0649,7.3910,-10.3560,-64.0649,0.0000,0.0000,0.0000,
P1_NL_H4,11.4862,-11.6668,-64.0612,11.4862,-11.6668,-64.0612,0.0000,0.0000,0.0000,
P1_NL_H5,11.4889,-15.9605,-64.0745,11.4889,-15.9605,-64.0745,0.0000,0.0000,0.0000,
P2_FL_H1,16.3882,-9.3560,-64.0296,16.3882,-9.3560,-64.0296,0.0000,0.0000,0.0000,
